type,name,iso_country,municipality,iata_code
small_airport,Hooker County Airport,US,Mullen,MHN
medium_airport,La Laguna Airport,HN,Guanaja,GJA
small_airport,Palacios Airport,HN,Palacios,PCH
small_airport,Puerto Lempira Airport,HN,Puerto Lempira,PEU
large_airport,Juan Manuel Gálvez International Airport,HN,Coxen Hole,RTB
small_airport,Rioamarillo Airport,HN,Copán Ruinas,RUY
large_airport,Palmerola International Airport,HN,Palmerola,XPL
medium_airport,Tela Airport,HN,Tela,TEA
medium_airport,Toncontín Airport,HN,Tegucigalpa,TGU
medium_airport,Trujillo Airport,HN,Trujillo,TJI
small_airport,Tocoa Airport,HN,Tocoa,TCF
small_airport,Sulaco Airport,HN,Sulaco,SCD
small_airport,Utila Airport,HN,Utila Island,UII
small_airport,Yoro Airport,HN,Yoro,ORO
small_airport,Mainoru Airstrip,AU,Mainoru,MIZ
small_airport,Moki Airport,PG,Moki,MJJ
small_airport,Maganja da Costa Airport,MZ,Maganja,MJS
medium_airport,Ian Fleming International Airport,JM,Boscobel,OCJ
large_airport,Norman Manley International Airport,JM,Kingston,KIN
large_airport,Sangster International Airport,JM,Montego Bay,MBJ
medium_airport,Ken Jones Airport,JM,Ken Jones,POT
small_airport,Negril Airport,JM,Negril,NEG
medium_airport,Tinson Pen Airport,JM,Tinson Pen,KTP
small_airport,Mili Island Airport,MH,Mili Island,MIJ
small_airport,Hinthada Airport,MM,Hinthada,HEB
small_airport,Aeródromo de Cupul,MX,Tizimin,TZM
large_airport,General Juan N. Álvarez International Airport,MX,Acapulco,ACA
medium_airport,Del Norte International Airport,MX,Monterrey,NTR
large_airport,Aguascalientes International Airport,MX,Aguascalientes,AGU
large_airport,Bahías de Huatulco International Airport,MX,Huatulco,HUX
small_airport,Cananea National Airport,MX,Cananea,CNA
medium_airport,General Mariano Matamoros International Airport,MX,Temixco,CVJ
small_airport,Ciudad Acuña New International Airport,MX,Ciudad Acuña,ACN
medium_airport,Ciudad del Carmen International Airport,MX,Ciudad del Carmen,CME
